Player,Season,Age,BMI,Weight,HeightInch,GamesPlayed,GamesStarted,NumTargets,NumReceptions,CatchPercent,Position,FanPt,FanPtNextSeason,FanPtNextSeason_Center,Age_Center,GamesPlayed_Center,BMI_Center,NumTargets_Center,NumReceptions_Center,CatchPercent_Center,GamesStarted_Center,Weight_Center,HeightInch_Center
Mike Williams,2019,25,26.5,218,76,15,15,90,49,54.4,WR,112.3,105.7,6.8999999999999915,-1,-1,-1.1000000000000014,-3,-10.5,-11.750000000000007,1,3,1.5
Corey Davis,2019,24,26.1,209,75,15,11,69,43,62.3,TE,72.1,126.4,27.599999999999994,-2,-1,-1.5,-24,-16.5,-3.8500000000000085,-3,-6,0.5
Robert Woods,2019,27,26.4,195,72,15,15,139,90,64.7,WR,142.9,155.1,56.29999999999998,1,-1,-1.2000000000000028,46,30.5,-1.4500000000000028,1,-20,-2.5
Brandin Cooks,2019,26,27.1,189,70,14,14,72,42,58.3,WR,75.5,151,52.19999999999999,0,-2,-0.5,-21,-17.5,-7.8500000000000085,0,-26,-4.5
Marcedes Lewis,2019,35,30.6,265,78,16,11,19,15,78.9,TE,21.6,28.7,-70.10000000000001,9,0,3,-74,-44.5,12.75,-3,50,3.5
Maxx Williams,2019,25,30.7,252,76,16,10,19,15,78.9,TE,26.2,16.2,-82.60000000000001,-1,0,3.099999999999998,-74,-44.5,12.75,-4,37,1.5
Durham Smythe,2019,24,28.4,246,78,16,14,14,7,50,TE,6.5,32.8,-66.00000000000001,-2,0,0.7999999999999972,-79,-52.5,-16.150000000000006,0,31,3.5
Luke Stocker,2019,31,30,253,77,15,9,14,8,57.1,TE,5.3,6.3,-92.50000000000001,5,-1,2.3999999999999986,-79,-51.5,-9.050000000000004,-5,38,2.5
Davante Adams,2020,28,28.4,215,73,14,14,149,115,77.2,WR,243.4,221.3,122.5,2,-2,0.7999999999999972,56,55.5,11.049999999999997,0,0,-1.5
Tyreek Hill,2020,26,27.4,191,70,15,15,135,87,64.4,WR,241.9,185.5,86.69999999999999,0,-1,-0.20000000000000284,42,27.5,-1.75,1,-24,-4.5
Adam Thielen,2020,30,25,195,74,15,15,108,74,68.5,WR,180,132.8,34,4,-1,-2.6000000000000014,15,14.5,2.3499999999999943,1,-20,-0.5
Mike Evans,2020,27,27.4,231,77,16,16,109,70,64.2,WR,178.6,188.5,89.69999999999999,1,0,-0.20000000000000284,16,10.5,-1.9500000000000028,2,16,2.5
Travis Kelce,2020,31,29.6,250,77,15,15,145,105,72.4,TE,207.8,170.8,72,5,-1,2,52,45.5,6.25,1,35,2.5
A.J. Brown,2020,23,29.8,226,73,14,12,106,70,66,WR,177.5,117.9,19.099999999999994,-3,-2,2.1999999999999993,13,10.5,-0.15000000000000568,-2,11,-1.5
D.K. Metcalf,2020,23,28.6,235,76,16,16,129,83,64.3,WR,188.3,169.3,70.5,-3,0,1,36,23.5,-1.8500000000000085,2,20,1.5
Tyler Lockett,2020,28,26.1,182,70,16,16,132,100,75.8,WR,165.4,168.4,69.6,2,0,-1.5,39,40.5,9.649999999999991,2,-33,-4.5
Darren Waller,2020,28,27.5,238,78,16,15,145,107,73.8,TE,171.6,78.5,-20.30000000000001,2,0,-0.10000000000000142,52,47.5,7.6499999999999915,1,23,3.5
Marvin Jones,2020,30,25.5,199,74,16,16,115,76,66.1,WR,151.8,107.2,8.399999999999991,4,0,-2.1000000000000014,22,16.5,-0.05000000000001137,2,-16,-0.5
Jonnu Smith,2020,25,31,248,75,15,14,65,41,63.1,TE,99.2,39.4,-59.40000000000001,-1,-1,3.3999999999999986,-28,-18.5,-3.0500000000000043,0,33,0.5
